id_funcionario,id_companhia,id_aeroporto_base,nome_completo,cargo,data_nascimento,data_admissao,salario,criado_em,atualizado_em
1,7,26,Sra. Sofia Lopes,Mecânico,1982-10-16,2019-06-10,22276.370678339783,2019-06-10 00:00:00.000000,2019-11-20 00:00:00.000000
2,6,41,Davi Lucca Duarte,Copiloto,1968-12-11,2017-11-25,20151.943314237677,2017-11-25 00:00:00.000000,2018-05-10 00:00:00.000000
3,2,31,Isabelly da Luz,Copiloto,1979-06-02,2021-05-04,12606.531019360573,2021-05-04 00:00:00.000000,2022-01-17 00:00:00.000000
4,5,68,Ana Carolina Sales,Mecânico,1978-06-14,2019-09-03,9468.129537120229,2019-09-03 00:00:00.000000,2019-09-27 00:00:00.000000
5,6,42,Josué Pires,Agente de Solo,2003-07-30,2025-10-17,6314.799306038278,2025-10-17 00:00:00.000000,2025-11-25 22:51:33.883652
6,7,12,Mateus Cunha,Copiloto,2005-09-01,2022-10-20,19927.843458892843,2022-10-20 00:00:00.000000,2023-04-17 00:00:00.000000
7,8,75,Bella Alves,Agente de Solo,1969-12-29,2019-11-16,12788.34123168669,2019-11-16 00:00:00.000000,2019-12-07 00:00:00.000000
8,5,9,Alexandre Fernandes,Comissário,1965-12-10,2025-07-13,9711.007697498879,2025-07-13 00:00:00.000000,2025-11-25 22:51:33.883889
9,3,52,Maria Laura Câmara,Comissário,1995-11-08,2021-07-09,15794.323465185149,2021-07-09 00:00:00.000000,2022-02-19 00:00:00.000000
10,3,24,Benjamin Araújo,Agente de Solo,1965-09-23,2022-10-27,3976.346122653437,2022-10-27 00:00:00.000000,2023-07-27 00:00:00.000000
11,3,77,Thales Ferreira,Copiloto,1995-09-17,2020-07-21,13533.627747868053,2020-07-21 00:00:00.000000,2020-08-19 00:00:00.000000
12,7,15,Francisco Silva,Comissário,1965-05-18,2020-09-25,4342.334939877694,2020-09-25 00:00:00.000000,2021-03-09 00:00:00.000000
13,8,20,Sr. Felipe Vieira,Copiloto,2004-05-30,2017-10-25,3717.627050667891,2017-10-25 00:00:00.000000,2018-04-13 00:00:00.000000
14,8,80,Luiza Vieira,Comissário,1996-06-04,2025-04-29,15771.132263811605,2025-04-29 00:00:00.000000,2025-07-03 00:00:00.000000
